hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Harvest Day Hoi An - Hotel,Standard Double with Garden View,"1,958,596","2,312,612","2,388,041","1,958,596","1,958,596","2,331,609"
Reu Boutique Hotel - Hotel,Superior 2 giường hoặc giường đôi (Superior Twin or Double),"2,032,029","2,048,566","2,118,194","2,255,810","2,099,676","2,200,046"
Renaissance Danang Hoi An Resort & Spa,"Deluxe, Guest room, 2 Twin, Garden view, Balcony","2,400,000","2,400,000","2,500,000","2,400,000","2,400,000","2,300,000"
Victoria Hoi An Beach Resort & Spa,Phòng Đôi Hướng Sông (River View Double Room),"3,043,502","3,027,730","3,069,251","2,425,595","2,677,971","2,353,462"
KOI Resort and Spa Hoi An,Bungalow Nhìn ra vườn (Bungalow with Garden View),"2,389,523","1,850,544","1,853,518","1,851,715","1,853,072","1,851,139"
Hoi An Beach Resort,Phòng Superior (Superior Room),"1,683,957","1,765,432","1,606,349","1,606,349","1,496,296","1,392,593"
Palm Garden Beach Resort & Spa,Superior giường đôi hoặc 2 giường đơn Hướng vườn (Superior Double or Twin with Garden View),"2,380,734","2,380,734","2,380,734","2,380,734","3,219,048","2,995,503"
ENSO Retreat Hoi An - Rediscovery & Serenity,Phòng Deluxe giường đôi Hướng vườn (Deluxe Double Room Garden View),"1,432,981","1,432,981","1,432,981","1,432,981","1,432,981","1,432,981"
Sứ Retreat Hoi An - Riverfront Resort,Suite Lớn có Ban Công (Executive Suite with Balcony),"3,218,695","2,423,407","2,423,407","2,423,407","2,423,407","2,423,407"
Banla Boutique Hotel,Classic Double Room,"919,555","1,125,220","1,125,220","1,125,220","1,125,220","919,555"
Mơ Stay - Forest Resort,Deluxe Balcony Room,"3,880,071","2,950,368","3,738,977","3,738,977","3,738,977","3,569,024"
Ana Mandara Villas Dalat Resort & Spa,Villa Double Room,"2,010,582","2,261,905","2,261,905","2,261,905","2,261,905","2,261,905"
Colline Dalat,Superior Double Room,"1,733,862","1,733,862","1,733,862","1,733,862","1,703,968","1,703,968"
Terracotta Hotel and Resort Dalat,Superior Twin,"1,784,832","1,784,832","1,869,489","1,590,000","1,766,667","1,766,667"
Le Recit Boutique Hotel de Dalat,Deluxe Twin,"966,490","966,490","966,490","966,490","1,287,478","966,490"
Swiss-Belresort Tuyen Lam Dalat,Deluxe Mountain View King Room,"1,089,325","1,089,325","1,111,111","1,111,111","1,089,325","1,244,942"
Nexus House An Son Da Lat,Standard Double with Balcony,"561,320","613,747","613,747","600,826","600,826","600,826"
The Pink Boutique Hotel,Classic Double,"870,098","870,098","1,065,307","1,065,307","1,065,307","1,065,307"
